Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_GB,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR110568,2019/3/15 17:42,2019/6/13 20:29,6779848,1951728561,6779848,287,1.26,1287,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110568,DRX103657,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090581,SAMD00098262,simple,942017,activated sludge metagenome,SAMD00098262,,,,,,,no,,,,,AIST,DRA006303,,public,DEF30FB614290499C5930C57D2056DCF,8FCDD14034984760A9CD731C09375DEB
DRR110569,2019/3/15 17:42,2019/6/13 20:29,6286611,1781876895,6286611,283,1.17,1197,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110569,DRX103658,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090582,SAMD00098263,simple,942017,activated sludge metagenome,SAMD00098263,,,,,,,no,,,,,AIST,DRA006303,,public,540832756EA1CF9F10CBF0FE986B088E,4BD8DD2DE893CA52A3EF2F37CFF1F274
DRR110570,2019/3/15 17:42,2019/6/13 20:40,5185307,1502573952,5185307,289,0.98,1000,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110570,DRX103659,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090583,SAMD00098264,simple,942017,activated sludge metagenome,SAMD00098264,,,,,,,no,,,,,AIST,DRA006303,,public,974DCFE540277FC978E13B84394BCAB8,38AAB7EF7D8694CD554E6D2C7F65104A
DRR110571,2019/3/15 17:42,2019/6/13 20:25,4031668,1158198685,4031668,287,0.68,698,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110571,DRX103660,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090584,SAMD00098265,simple,942017,activated sludge metagenome,SAMD00098265,,,,,,,no,,,,,AIST,DRA006303,,public,29A9734C24A3427B51DD354D2422CE78,D0FE87F9A93BD78EE8665F11D39B6E9C
DRR110572,2019/3/15 17:42,2019/6/13 20:24,3905362,1126794990,3905362,288,0.67,684,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110572,DRX103661,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090585,SAMD00098266,simple,942017,activated sludge metagenome,SAMD00098266,,,,,,,no,,,,,AIST,DRA006303,,public,C4E4179B4D442FFD9E90687F2A5EA578,EF9E70A7432CFD036B505CA09AE8518D
DRR110573,2019/3/15 17:42,2019/6/13 20:46,3286591,958750889,3286591,291,0.54,551,,https://sra-download.ncbi.nlm.nih.gov/traces/dra0/DRR/000107/DRR110573,DRX103662,,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina MiSeq,DRP004894,PRJDB6477,,527406,DRS090586,SAMD00098267,simple,942017,activated sludge metagenome,SAMD00098267,,,,,,,no,,,,,AIST,DRA006303,,public,9373B68E3C8FCF34979B29FCDED0A0E9,A2041D0C330CEBFF3EF66ACBFB44487D
SRR1027962,2014/11/6,2013/11/15 15:20,910015722,1.83823E+11,0,202,99.82,102219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027962/SRR1027962.1,SRX373536,UP_b1_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,200,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498893,SAMN02393382,simple,942017,activated sludge metagenome,Sludge_b1_October_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110273,,public,5D8AC42D4F3C9A2EF62072CB95257D81,49176100FF42F18EA9A958CE4F2B9774
SRR1027966,2014/11/6,2013/11/16 4:40,1948792904,3.93656E+11,0,202,266.37,272764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027966/SRR1027966.1,SRX373536,UP_b1_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,200,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498893,SAMN02393382,simple,942017,activated sludge metagenome,Sludge_b1_October_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110273,,public,C1ECE44843F255E8018723DB9771EA99,BA6790DBD55557417F75099E94DD1B98
SRR1027973,2014/11/6,2013/11/22 16:15,606395266,1.22492E+11,0,202,80.07,81989,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027973/SRR1027973.1,SRX373537,UP_sludgeA2_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,220,30,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498894,SAMN02393383,simple,942017,activated sludge metagenome,Sludge1_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,06B1CE69ADB7685529CE700E67CBD156,EE262AFB39A86DF560FEB89A72CA3031
SRR1027974,2014/11/6,2013/11/22 4:41,439013537,88680734474,0,202,57.57,58954,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1027974/SRR1027974.1,SRX373538,UP_sludgeA4_b2_H2000_RNA,WGS,RANDOM,METATRANSCRIPTOMIC,PAIRED,200,20,ILLUMINA,Illumina HiSeq 2000,SRP032652,PRJNA226633,,226633,SRS498895,SAMN02393384,simple,942017,activated sludge metagenome,Sludge3_b2_February_RNA,,,,,,,no,,,,,SCELSE NTU,SRA110274,,public,6AFA8984A09678995AD050D36A986E2C,E77C35759FE74BA14094DFC15002D53A
